time_bucket,supply_tx_count,withdrawal_tx_count,unique_suppliers,unique_withdraw_users,supply_amount_value_usd,supply_amount_value_eth,withdrawal_amount_value_usd,withdrawal_amount_value_eth
2025-11-06 06:00:00.000 UTC,556,459,303,269,406600086.703738,119976.33792807932,284705614.1328656,84008.65845963826
2025-11-06 12:00:00.000 UTC,798,826,421,440,407272587.7683086,121932.50842852343,508084692.23940635,152115.60656106038
2025-11-06 18:00:00.000 UTC,717,603,409,300,504000286.28120714,151949.94372718572,433009219.5631966,130546.98913981642
2025-11-07 00:00:00.000 UTC,761,683,376,299,338327219.71512645,101544.5318879984,380267552.32127905,114131.72368514533
2025-11-07 06:00:00.000 UTC,686,649,350,348,313949842.9796643,94567.8132115116,447882019.75374806,134915.971150896
2025-11-07 12:00:00.000 UTC,806,759,428,386,307540293.7825539,93886.43681415066,512467394.2643581,156451.54181329114
2025-11-07 18:00:00.000 UTC,810,564,438,277,502800316.48926723,146135.38662225154,189777250.28447497,55157.33627376696
2025-11-08 00:00:00.000 UTC,449,350,235,184,389346242.7644965,112983.67843025687,354766455.9209077,102949.01074542999
2025-11-08 06:00:00.000 UTC,587,470,319,230,182540599.63231763,52970.0586604431,373127572.4571202,108274.97063709701
2025-11-08 12:00:00.000 UTC,612,477,310,211,324337707.3886864,95601.09841770848,297256343.04678106,87618.65163628591
2025-11-08 18:00:00.000 UTC,459,332,239,159,111939957.76424734,32929.15641139844,69682138.65417105,20498.244868754296
2025-11-09 00:00:00.000 UTC,407,258,198,138,115902952.60371642,34223.805134319475,77617872.98596707,22918.980100837485
2025-11-09 06:00:00.000 UTC,458,314,270,186,104593983.52610512,30642.36390518154,120131578.66944341,35194.35272618764
2025-11-09 12:00:00.000 UTC,612,494,338,251,162237686.42237133,46452.407239333945,137581472.38743436,39392.60533925902
2025-11-09 18:00:00.000 UTC,635,434,334,235,127776257.60593759,35851.64891641875,118696985.90955657,33304.28188199746
2025-11-10 00:00:00.000 UTC,590,451,285,206,182218191.8708639,50318.767350646965,221628443.63990667,61201.743098809085
2025-11-10 06:00:00.000 UTC,576,435,324,251,439486971.7535758,121753.15561375895,341096708.4945067,94495.63873940098
2025-11-10 12:00:00.000 UTC,612,462,326,258,670263804.4837557,187930.58343233183,357056618.43149745,100115.40541146844
2025-11-10 18:00:00.000 UTC,503,441,270,223,345941977.0771844,97274.05188465222,110700943.23820373,31127.536537088657
2025-11-11 00:00:00.000 UTC,440,358,236,171,365479578.60091287,101808.76699993682,155510588.06059128,43319.44777917002
2025-11-11 06:00:00.000 UTC,454,419,254,205,382917830.9033814,107520.73712428112,373499445.29860026,104876.10503467017
2025-11-11 12:00:00.000 UTC,665,409,324,238,401517786.394401,114094.60382331719,180391146.85920742,51260.298920937195
2025-11-11 18:00:00.000 UTC,618,472,295,222,67377262.33831209,19556.5370293478,79834447.48212598,23172.321704183363
2025-11-12 00:00:00.000 UTC,415,309,217,184,613889659.0694169,178544.7271697399,107490964.94330683,31262.84773289655
2025-11-12 06:00:00.000 UTC,487,399,281,216,167086064.20356685,47980.03459862713,161252801.8106246,46305.31850336592
2025-11-12 12:00:00.000 UTC,697,574,336,256,490328622.70359063,140297.1730960064,562158130.6794103,160857.35678395908
2025-11-12 18:00:00.000 UTC,546,415,289,207,392055539.7454721,114715.22290855482,298311204.1939422,87285.48978007675
2025-11-13 00:00:00.000 UTC,490,369,269,199,688869780.3804033,199833.99493226816,129356611.08983427,37525.49023429528
2025-11-13 06:00:00.000 UTC,455,346,241,207,167653580.81854957,47581.96336373192,85904407.45223632,24380.531868758393
2025-11-13 12:00:00.000 UTC,643,657,309,302,1136520594.9995365,332994.1256456537,315788374.8865323,92514.18846314405
2025-11-13 18:00:00.000 UTC,1156,989,470,376,255588010.1313184,79653.46314247626,281548956.99262714,87745.3785392333
2025-11-14 00:00:00.000 UTC,715,648,350,287,261637768.7863985,81524.53307973944,166727032.26228243,51951.16465185573
2025-11-14 06:00:00.000 UTC,827,798,388,354,270532159.7700366,84978.6886721004,160011942.5723067,50262.506607404444
2025-11-14 12:00:00.000 UTC,1242,1065,593,467,349673365.65046877,110398.20096761321,277502275.2559436,87616.64899552135
2025-11-14 18:00:00.000 UTC,832,627,405,273,370493369.94102556,117071.99649099258,162677051.7339423,51403.255915577254
2025-11-15 00:00:00.000 UTC,449,421,234,206,247809190.28777206,78320.4661463753,246703921.80655387,77970.78285175485
2025-11-15 06:00:00.000 UTC,483,392,264,222,102534016.80878684,32395.45804608421,212548652.9902762,67154.62519143913
2025-11-15 12:00:00.000 UTC,494,421,267,209,317159776.09074986,99788.16613758549,857676954.6594478,269849.423230514
2025-11-15 18:00:00.000 UTC,406,333,214,171,92547513.65828735,29039.928144307225,107034520.65556948,33585.55204612331
2025-11-16 00:00:00.000 UTC,305,299,161,160,119419198.87664618,37547.117859259175,128061252.36893812,40264.46936707114
2025-11-16 06:00:00.000 UTC,371,337,220,189,87532052.34486121,27238.719214621124,93794473.01518977,29187.511155583823
2025-11-16 12:00:00.000 UTC,767,726,333,295,2127533716.649221,678323.22865797,3238007538.8242927,1032418.0380666474
2025-11-16 18:00:00.000 UTC,1063,778,514,298,208493781.14664975,67555.20905796885,198449883.53904176,64300.63579608726
2025-11-17 00:00:00.000 UTC,548,437,296,197,193324747.4122996,61360.31289433251,123905199.65147917,39326.19256025313
2025-11-17 06:00:00.000 UTC,547,437,279,223,503128980.6411765,157422.99419698832,154434480.2488286,48320.632005914216
2025-11-17 12:00:00.000 UTC,701,617,327,286,373647630.9414412,119085.92042692675,415217210.85008675,132333.61633362883
2025-11-17 18:00:00.000 UTC,1319,1201,565,439,356562842.25458467,118298.20146617395,401962472.62262565,133361.07024833706
2025-11-18 00:00:00.000 UTC,980,902,479,382,411011818.18228763,136479.17619659696,395818148.5768508,131433.78657930455
2025-11-18 06:00:00.000 UTC,770,619,470,319,156805582.54637703,51659.837781132046,153042290.1755666,50420.03963144391
2025-11-18 12:00:00.000 UTC,708,549,375,278,634772592.7481256,205600.10129606377,156206177.9681598,50590.062121380906
2025-11-18 18:00:00.000 UTC,623,478,349,259,210700560.43902138,67228.21222310167,154535698.2104019,49307.35731550156
2025-11-19 00:00:00.000 UTC,463,363,244,189,107766911.76676688,34934.51969694552,91759344.7476429,29745.336439621184
2025-11-19 06:00:00.000 UTC,492,459,265,226,299726996.59637976,97580.25332621028,308224701.22500795,100346.69948617378
2025-11-19 12:00:00.000 UTC,894,830,422,365,165090226.25102812,54550.08350384088,221237209.7740366,73101.26655294582
2025-11-19 18:00:00.000 UTC,1202,866,537,349,194601115.5231865,66188.33704737584,181522792.14624497,61739.0121789786
2025-11-20 00:00:00.000 UTC,462,395,249,203,91247787.42842652,30052.615476158673,78572515.93909378,25877.981225089698
2025-11-20 06:00:00.000 UTC,512,465,295,250,836620340.9470913,276890.4612437128,195292591.31780064,64634.35431296533
2025-11-20 12:00:00.000 UTC,1052,917,456,358,208707713.3050735,70569.77409059157,218148817.20968875,73758.92780416153
2025-11-20 18:00:00.000 UTC,1200,936,594,390,360620572.16285354,126483.81195639918,297137125.36830944,104220.77929833389
