time_bucket,as_collateral_tx_count,as_debt_tx_count,liquidation_tx_count,unique_liquidated_users,unique_liquidators,liquidated_collateral_value_usd,liquidated_collateral_value_eth,liquidation_debt_covered_value_usd,liquidation_debt_covered_value_eth
2025-04-01 00:00:00.000 UTC,6,6,12,12,12,83457.13917558301,44.521713126791475,79215.71182632571,42.262463076257454
2025-04-02 00:00:00.000 UTC,27,27,54,51,41,933136.5389787264,501.70240045698495,907043.3671373249,487.46671403909886
2025-04-03 00:00:00.000 UTC,74,74,148,147,55,1239253.364366173,695.940476587922,1164971.9120343493,654.2396827123094
2025-04-04 00:00:00.000 UTC,12,12,24,23,17,18543.8602673799,10.335572280030819,17143.93878525979,9.555658860700808
2025-04-05 00:00:00.000 UTC,4,4,8,8,8,132.97715402450362,0.07430627360058766,126.73301681415464,0.07081691471866462
2025-04-06 00:00:00.000 UTC,1059,1059,2118,2087,401,45410545.20511867,27618.565484934028,43011624.03996829,26162.28559946525
2025-04-07 00:00:00.000 UTC,904,904,1808,1752,292,47465110.05690096,31916.6354265402,44687568.1662392,30059.38193456976
2025-04-08 00:00:00.000 UTC,31,31,62,62,42,42235.857882885095,27.982700073767173,39950.057401165934,26.473826239637795
2025-04-09 00:00:00.000 UTC,195,195,390,383,95,1943256.738791666,1338.19657891481,1798063.0077810397,1238.4368346185452
2025-04-10 00:00:00.000 UTC,12,12,24,24,23,42433.25882652306,27.496043128033698,40139.25871067769,26.01303604339538
2025-04-11 00:00:00.000 UTC,4,4,8,8,8,2769.2440657786815,1.7914510936682448,2587.05724662729,1.6735155195762845
2025-04-12 00:00:00.000 UTC,2,2,4,3,3,7641.751720478241,4.791817294796289,7344.22267512819,4.605251277553135
2025-04-13 00:00:00.000 UTC,2,2,4,4,4,112.59070811888765,0.06885015178706234,106.8965585781256,0.06536938763128222
2025-04-14 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-15 00:00:00.000 UTC,2,2,4,4,4,20.68140682736822,0.012752747440138807,19.423602749016673,0.011979445741350868
2025-04-16 00:00:00.000 UTC,40,40,80,77,32,641391.4709197312,403.40455510033405,603331.2101830175,379.4671364095375
2025-04-17 00:00:00.000 UTC,6,6,12,11,10,185.5208094949163,0.11721368889435221,177.03778497611864,0.11185476768279676
2025-04-18 00:00:00.000 UTC,4,4,8,8,7,182758.08262231646,114.6513203097411,175152.39229896676,109.88026075158066
2025-04-19 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-20 00:00:00.000 UTC,6,6,12,12,9,13337.916798629769,8.43138066011219,12772.360771453126,8.074046883931883
2025-04-21 00:00:00.000 UTC,9,9,18,18,17,494486.7814592434,309.02812134554637,464856.3045438796,290.52820795702974
2025-04-22 00:00:00.000 UTC,19,19,38,38,28,1006744.4724534731,638.3885035776732,957792.9877049052,607.3565329279704
2025-04-23 00:00:00.000 UTC,6,6,12,11,11,4946.214247607813,2.742707671501531,4835.453080375474,2.680942379750395
2025-04-24 00:00:00.000 UTC,4,4,8,8,8,3623.749509607315,2.069979357009403,3431.4834715819907,1.9602239509576291
2025-04-25 00:00:00.000 UTC,4,4,8,6,6,4667.768167578103,2.599557759792716,4463.9060818519265,2.486007828933764
2025-04-26 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-27 00:00:00.000 UTC,2,2,4,4,4,12.961025903217253,0.007104927360728817,12.423799811343686,0.006810047999309521
2025-04-28 00:00:00.000 UTC,3,3,6,5,3,695.4634851206575,0.39158713594750283,664.2761071540549,0.3740315745310351
2025-04-29 00:00:00.000 UTC,1,1,2,2,2,2.438594401708178,0.001338535627742967,2.3294632258333334,0.0012786346417173076
2025-04-30 00:00:00.000 UTC,6,6,12,12,10,14718.453194847132,8.255710108811579,13487.566565494573,7.5660591433572675
2025-05-01 00:00:00.000 UTC,7,7,14,11,9,145349.3673326033,78.68394505203793,116096.55623549483,62.858850823149155
2025-05-02 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-05-03 00:00:00.000 UTC,1,1,2,2,2,0.46137278575482055,0.00025262987658917,0.4411181323076274,0.00024153922129439877
2025-05-04 00:00:00.000 UTC,1,1,2,2,2,15.22511572950891,0.008318623841915554,14.268178181748336,0.007795779479800017
2025-05-05 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-05-06 00:00:00.000 UTC,4,4,8,8,8,8597.185268407724,4.805884316278395,8037.213554819955,4.492891970447497
2025-05-07 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-05-08 00:00:00.000 UTC,7,7,14,14,14,29070.627129381042,14.151008364506604,27406.95061012434,13.341764735143155
2025-05-09 00:00:00.000 UTC,19,19,38,35,30,254010.804746272,109.51569434317054,240297.34891700203,103.59268008093605
2025-05-10 00:00:00.000 UTC,7,7,14,14,14,18000.620469586236,7.2299442717822044,17149.083357229167,6.8879540673294555
2025-05-11 00:00:00.000 UTC,3,3,6,6,6,1348674.440515908,536.7113956895344,1266988.0728476122,504.23660231500395
2025-05-12 00:00:00.000 UTC,3,3,6,6,6,131893.71534300223,52.921428824348745,125208.85753237228,50.23913875070373
2025-05-13 00:00:00.000 UTC,1,1,2,2,2,155.90322189869627,0.06397848355128492,148.59767945285842,0.060980490405674874
2025-05-14 00:00:00.000 UTC,3,3,6,6,6,2946.2142151368807,1.1398343634663444,2788.672297051116,1.0788910955936728
2025-05-15 00:00:00.000 UTC,5,5,10,10,10,108592.60927827051,42.68896600266002,101585.72658745186,39.93100293538893
2025-05-16 00:00:00.000 UTC,5,5,10,8,7,183871.07081717884,71.25630205476845,176322.74559284924,68.33135838442486
2025-05-17 00:00:00.000 UTC,8,8,16,15,15,68325.5362813792,27.319757018351275,64293.48267661991,25.70795563355383
2025-05-18 00:00:00.000 UTC,24,24,48,48,33,2470135.6643343917,1009.1850114382308,2318196.9773038523,947.1626561894325
2025-05-19 00:00:00.000 UTC,3,3,6,6,6,3078.2443090050783,1.2912785861802063,2931.8656496429744,1.2298787598912446
2025-05-20 00:00:00.000 UTC,2,2,4,4,4,2205.195607259985,0.8844025067537568,2094.4144649775285,0.8399822318366226
2025-05-21 00:00:00.000 UTC,2,2,4,4,4,20157.930053557808,7.885272391009555,18617.070531346293,7.283424040317879
2025-05-22 00:00:00.000 UTC,1,1,2,2,2,416.891606942979,0.16046505354938223,398.04810137336455,0.1532106804239558
2025-05-23 00:00:00.000 UTC,10,10,20,20,19,125971.08193733006,48.12268420705757,118044.20108887131,45.08809092744894
2025-05-24 00:00:00.000 UTC,1,1,2,1,1,1002.7571356506083,0.3935906100881564,963.7262234310864,0.3782706487469572
2025-05-25 00:00:00.000 UTC,1,1,2,2,2,32368.52656871628,12.911188288742443,30739.04261315588,12.261290233057919
2025-05-26 00:00:00.000 UTC,3,3,6,6,6,2413.1945553756345,0.9460901233308343,2308.0190867452347,0.904855015234594
2025-05-27 00:00:00.000 UTC,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-05-28 00:00:00.000 UTC,5,5,10,10,9,1663.1512209933012,0.6284455464300385,1582.9443056213252,0.5981399965068082
2025-05-29 00:00:00.000 UTC,4,4,8,8,8,14690.061691507493,5.3864600700791305,13930.15383018406,5.1073924395447605
2025-05-30 00:00:00.000 UTC,16,16,32,32,25,88559.77984664185,34.36894457390444,82639.3576820385,32.072830433490346
2025-05-31 00:00:00.000 UTC,7,7,14,14,12,114683.49778480941,45.71735293027471,106131.83695215097,42.30688658615653
2025-06-01 00:00:00.000 UTC,3,3,6,6,6,40576.65551345448,16.269323541223592,38527.92192856938,15.447878604847583
2025-06-02 00:00:00.000 UTC,2,2,4,4,4,571.9121111549208,0.2266984759226278,533.164271293633,0.21135651352280965
2025-06-03 00:00:00.000 UTC,1,1,2,2,2,16232.323674972973,6.213202795849644,15394.611168182031,5.892565859681511
2025-06-04 00:00:00.000 UTC,2,2,4,4,4,171.61340061016335,0.06588895357039219,162.10749437126924,0.06223895316616941
2025-06-05 00:00:00.000 UTC,36,36,72,72,49,1157103.850750883,468.9859664076174,1096544.4025066067,444.5323001331174
2025-06-06 00:00:00.000 UTC,8,8,16,16,8,29991.67247078973,12.27516722978664,28408.841687462504,11.626890336764458
2025-06-07 00:00:00.000 UTC,4,4,8,8,8,2596.446339365376,1.042559843767076,2473.8242912818973,0.9933225307534104
2025-06-08 00:00:00.000 UTC,5,5,10,10,9,6.01256253934246,0.0023903797384066602,5.779106375545633,0.0022975628188373334
2025-06-09 00:00:00.000 UTC,3,3,6,6,5,7.587939734950893,0.0028516079624027017,7.210612834169014,0.002709817653480374
2025-06-10 00:00:00.000 UTC,4,4,8,8,8,18274.135203072638,6.716073492843167,17269.193555881546,6.346162816469841
2025-06-11 00:00:00.000 UTC,4,4,8,8,7,617.0088466060319,0.21938996552187867,588.1520776566412,0.20913022287247043
2025-06-12 00:00:00.000 UTC,8,8,16,15,10,15560.31752088546,5.83458761351905,14727.227526623112,5.522415375163052
2025-06-13 00:00:00.000 UTC,28,28,56,56,40,946540.3399906121,373.6377897666633,894853.9123912446,353.2800894168722
2025-06-14 00:00:00.000 UTC,2,2,4,4,4,9586.298526916458,3.811808925091306,9141.351502889907,3.634896119073676
2025-06-15 00:00:00.000 UTC,3,3,6,5,5,37042.402921332025,14.596698723703739,36541.04410370393,14.39854237874267
