time_bucket,avg_total_collateral_base,avg_total_debt_base,avg_available_borrows_base,avg_current_liquidation_threshold,avg_ltv,sampled_user_count,account_data_call_count,borrow_amount_value_usd,collateralization_ratio,borrow_capacity_utilization,remaining_borrow_capacity,risk_buffer,ltv_utilization,distance_to_liquidation,debt_expansion_ratio,capital_efficiency,overcollateral_margin,has_sampled_borrow_position
2025-04-01 00:00:00.000 UTC,57710201.601852305,27325907.014394872,20525661.1168826,0.8307187844009999,0.8025457585458551,147,272,1873048249.7238586,2.1119226370583584,0.5710556222405948,0.3556678117066878,0.028173025855144807,0.966085965089306,0.033914034910694,0.4735021929557391,32.45610304129903,30384294.587457433,1
2025-04-08 00:00:00.000 UTC,73118974.34344402,37163779.01428381,22462022.546848465,0.8466213763492441,0.8199229074029135,83,597,2243339221.1208797,1.9674795266471934,0.6232835121919673,0.3071982717009002,0.026698468946330545,0.9684646883575533,0.03153531164244672,0.5082645010818042,30.680671347819878,35955195.329160206,1
2025-04-15 00:00:00.000 UTC,58398838.4715403,38351797.62614937,10922890.71992174,0.8500955274159374,0.8224149186138717,47,721,1754465126.0253162,1.5227145032628737,0.7783265387046803,0.18703952006245514,0.027680608802065687,0.967438237339976,0.032561762660023974,0.6567219251259505,30.042808589083933,20047040.84539093,1
2025-04-22 00:00:00.000 UTC,68937799.13149783,44639232.955323614,13038442.765417077,0.8632675981847863,0.8365133469638774,55,349,3067906619.6471395,1.5443320722041305,0.7739429926312288,0.18913343520796827,0.02675425122090891,0.9690081600685978,0.0309918399314022,0.6475291279632374,44.50253211297264,24298566.176174216,1
2025-04-29 00:00:00.000 UTC,62317750.97357401,39418807.1286836,12389339.724899702,0.8460929808286951,0.8189157235621521,27,153,2482046424.2032447,1.580914175564377,0.7608611680337917,0.1988091600121036,0.027177257266542965,0.9678791127188828,0.03212088728111717,0.63254540661134,39.82888319021273,22898943.844890416,1
2025-05-06 00:00:00.000 UTC,53920137.793827824,34926280.48990029,10425152.493647171,0.8783861444144092,0.8529720394458482,117,742,3515650094.3954163,1.543827084862931,0.7701251800041424,0.19334432218087777,0.025414104968561002,0.9710672747627369,0.02893272523726309,0.6477409353708711,65.20105916342537,18993857.303927533,1
2025-05-13 00:00:00.000 UTC,41205273.72118242,26300664.890133243,8579006.914677799,0.6598357570773524,0.6351259997057036,60,134,3391765698.555216,1.5667008379183858,0.7540399186469846,0.20820167274529192,0.02470975737164882,0.9625516545494638,0.03744834545053621,0.6382839504500815,82.3138737411568,14904608.831049178,1
2025-05-20 00:00:00.000 UTC,37363811.73020077,25520078.68971849,6703000.5613516625,0.8338878669889008,0.8041699145447653,45,288,3415294102.976893,1.464094691261821,0.7919813774119974,0.17939819978093133,0.029717952444135554,0.9643621719171372,0.035637828082862755,0.6830159319395908,91.40646911611395,11843733.040482279,1
2025-05-27 00:00:00.000 UTC,97654895.24750727,68424734.66069666,17049761.19938037,0.8556573369565217,0.8272085597826088,32,464,4107270748.6909695,1.427187050585678,0.8005280870297139,0.17459197673775173,0.02844877717391292,0.9667521378650219,0.0332478621349781,0.7006790032109861,42.059035937533416,29230160.58681062,1
2025-06-03 00:00:00.000 UTC,113762707.43720946,95333511.07746054,7943798.966382282,0.8166207301587302,0.7928083492063493,32,131,3656900476.1083617,1.1933128881068358,0.9230828246493832,0.06982779458520541,0.023812380952380807,0.9708403423119661,0.029159657688033858,0.8380031842164025,32.14498457789221,18429196.359748915,1
2025-06-10 00:00:00.000 UTC,8881662.658915129,6953124.271542117,1018792.1249747484,0.8448468995859214,0.8168069772256729,47,306,4732176926.634408,1.2773628533098669,0.8722023570869503,0.1147073655124829,0.028039922360248548,0.966810646551474,0.03318935344852603,0.7828629096335689,532.8030469480171,1928538.3873730116,1
2025-06-17 00:00:00.000 UTC,21099049.22373321,6927828.432756739,9616743.554457748,0.7861848873607413,0.7576181467514542,59,257,5733421717.423802,3.045550193473458,0.41873724132062823,0.45579037484022644,0.0285667406092871,0.9636640934358495,0.03633590656415053,0.32834789659450575,271.73839240938776,14171220.79097647,1
2025-06-24 00:00:00.000 UTC,12529741.93820328,7271949.116416326,3238409.2874969956,0.8373870833333333,0.8089539583333334,31,79,5966070262.749009,1.7230238740144042,0.6918840287795287,0.25845778017367305,0.028433124999999948,0.9660454220444648,0.03395457795553525,0.5803750110961261,476.15268472197454,5257792.821786955,1
2025-07-01 00:00:00.000 UTC,31810356.792928457,13285195.299460014,11531514.47346162,0.7601858194444445,0.7304084861111111,44,76,7448269435.887583,2.394421465089144,0.5353326617840349,0.3625081777147848,0.029777333333333433,0.9608288755569063,0.039171124443093674,0.41763741871682986,234.14605137479492,18525161.49346844,1
2025-07-08 00:00:00.000 UTC,27806617.668902252,12036470.052677574,9733291.069710346,0.7908835701932476,0.7609778771586836,76,171,8652600505.52145,2.310197055050748,0.5528985818911594,0.3500350594813855,0.02990569303456403,0.9621869840749673,0.03781301592503272,0.4328635073851019,311.1705497068834,15770147.616224678,1
2025-07-15 00:00:00.000 UTC,32065263.40402599,14250116.127381971,11050283.057077356,0.8155479995806663,0.7869278363796697,126,260,9849618287.43366,2.2501755857562276,0.5632368099604946,0.34461850251602566,0.028620163200996585,0.9649068317061505,0.03509316829384945,0.44440976354470807,307.1740956351221,17815147.27664402,1
2025-07-22 00:00:00.000 UTC,32032599.385359462,14485863.80169959,11242105.781335715,0.8215632980115123,0.7999508411826269,71,243,6387503991.443119,2.2113006047731276,0.5630395261059149,0.3509582736664803,0.02161245682888535,0.9736934976511299,0.02630650234887011,0.452222550765592,199.40635833514452,17546735.583659872,1
2025-07-29 00:00:00.000 UTC,52139454.60253782,21104947.66765782,19939238.218023192,0.8109610375912504,0.7875933732107137,80,207,8138463929.365375,2.470484903520452,0.5142006647772408,0.38242130398219926,0.023367664380536723,0.971185219391126,0.02881478060887399,0.4047788345417515,156.09031570056442,31034506.93488,1
2025-08-05 00:00:00.000 UTC,63974745.71929161,19415316.58078892,30464488.40856289,0.7780349529609768,0.7514844344271518,135,359,8278580647.572581,3.2950658029750275,0.3892420306160709,0.47619553725520025,0.02655051853382495,0.9658749026213008,0.034125097378699176,0.3034840758254741,129.4038851502019,44559429.13850269,1
2025-08-12 00:00:00.000 UTC,31744938.913402073,8236191.444958204,16659625.482579796,0.8586081279789135,0.835045356904601,196,566,8501936868.533499,3.8543226108269715,0.33082631788828387,0.524796268407574,0.023562771074312483,0.9725570137219908,0.02744298627800923,0.2594489618463575,267.8202308634512,23508747.46844387,1
2025-08-19 00:00:00.000 UTC,29755867.32239965,7141402.608184163,16005624.126932444,0.7743352242097525,0.7503201172098342,150,270,6038653386.633087,4.166669904354495,0.30852353910966296,0.5378980875776292,0.02401510699991838,0.9689861622601155,0.03101383773988453,0.239999813509326,202.93992177090075,22614464.714215487,1
2025-08-26 00:00:00.000 UTC,48328023.9698207,14480153.69252735,23792104.14617854,0.8564604356636272,0.8308184143870315,68,92,3469062687.654508,3.3375352911316774,0.3783459484818566,0.4923045097195769,0.02564202127659565,0.9700604719040793,0.02993952809592071,0.2996222999220854,71.78159590842833,33847870.277293354,1
2025-09-02 00:00:00.000 UTC,114022024.41233064,31150069.414719887,57605870.40422574,0.8313761476190475,0.804552838095238,74,136,3540459508.6515226,3.660409962311346,0.35096320852737645,0.5052170464533173,0.026823309523809513,0.9677362531982329,0.032263746801767135,0.27319344289199654,31.050663474000274,82871954.99761075,1
2025-09-09 00:00:00.000 UTC,83197668.73005357,39111121.0315304,25770633.528994605,0.833040612778928,0.8043646716126064,84,336,4676946438.310481,2.1272125813776013,0.6028061555432438,0.30975187072381816,0.02867594116632166,0.96557677893919,0.03442322106080997,0.4700987615221754,56.214873682163926,44086547.69852317,1
2025-09-16 00:00:00.000 UTC,135808353.7136871,81289833.5035036,30334488.669883072,0.8210054513888889,0.7942519791666666,87,185,5201333942.29932,1.6706683709449808,0.7282448118899719,0.2233624651237186,0.026753472222222352,0.9674137703020562,0.03258622969794378,0.5985628371203134,38.29907218568336,54518520.21018349,1
2025-09-23 00:00:00.000 UTC,83017393.76808798,42433547.07934165,22002140.83295517,0.813244853048737,0.7852935647091004,113,255,7027163171.709431,1.9564094798123577,0.6585410733427383,0.2650304934218837,0.02795128833963656,0.9656299228518309,0.03437007714816909,0.5111404388082967,84.64687763313864,40583846.68874633,1
2025-09-30 00:00:00.000 UTC,63506899.89519743,40518051.48300494,11749789.04853753,0.8096287397119342,0.777523158436214,94,190,4225510703.4903135,1.5673729997069337,0.7752004113993041,0.1850159442190955,0.03210558127572016,0.9603453043340046,0.03965469566599544,0.6380102248711566,66.53624583255494,22988848.412192486,1
2025-10-07 00:00:00.000 UTC,45544732.82194201,23571160.57686094,11865010.141203454,0.821118294067969,0.7919327457949458,158,433,4419527287.755706,1.9322227547273099,0.6651723394267599,0.2605133328499244,0.02918554827302322,0.9644563414505933,0.035543658549406665,0.5175386727816109,97.03706694326061,21973572.24508107,1
