time_bucket,avg_total_collateral_base,avg_total_debt_base,avg_available_borrows_base,avg_current_liquidation_threshold,avg_ltv,sampled_user_count,account_data_call_count
2025-04-01 02:00:00.000 UTC,149152092.5022877,49974785.45129555,67109607.16300029,0.81,0.785,1,1
2025-04-01 04:00:00.000 UTC,150632471.31465796,51926501.67817343,66319988.30383308,0.81,0.785,1,1
2025-04-01 08:00:00.000 UTC,1262.4869985,477.21495282,469.65029606,0.78,0.75,1,1
2025-04-01 12:00:00.000 UTC,104771251.828514,64221483.04017836,33215781.16033967,0.95,0.93,1,1
2025-04-02 12:00:00.000 UTC,104777126.48964237,64224653.30550661,33218074.32986078,0.95,0.93,1,1
2025-04-02 22:00:00.000 UTC,8024.76679457,5746.263663316667,264.36757488666666,0.7793,0.7271666666666667,3,3
2025-04-03 10:00:00.000 UTC,147890307.4999031,45090970.89493709,71002920.49248683,0.81,0.785,1,1
2025-04-03 12:00:00.000 UTC,5965423.026110428,3615910.9604034475,1875464.3035702272,0.77995,0.7534055555555556,9,18
2025-04-03 14:00:00.000 UTC,197053.455629755,133669.217653215,15716.006009055,0.79855,0.75815,1,2
2025-04-03 20:00:00.000 UTC,657253.78607821,591761.19425471,19484.826798025,0.95,0.93,1,2
2025-04-03 22:00:00.000 UTC,216722.44490314668,179720.5347388867,21831.33902104,0.6333333333333333,0.62,2,6
2025-04-04 02:00:00.000 UTC,3549.7418324,2613.21301514,0.0,0.773,0.7291,1,1
2025-04-04 12:00:00.000 UTC,44817750.21489283,18069298.5133894,19379412.34593409,0.80884,0.7584,4,5
2025-04-04 16:00:00.000 UTC,2448803.40351096,1218910.09757076,703400.57418534,0.81,0.785,1,1
2025-04-04 20:00:00.000 UTC,153281907.4009981,142397680.15125737,154493.73167085,0.95,0.93,1,2
2025-04-05 06:00:00.000 UTC,146407815.96044973,135781643.3397779,377625.50344038,0.95,0.93,1,1
2025-04-05 12:00:00.000 UTC,79405763.25122611,44631734.90401263,29215624.91962767,0.95,0.93,1,1
2025-04-05 14:00:00.000 UTC,146341323.4213717,49114806.25686302,65763132.62891377,0.81,0.785,1,2
2025-04-05 22:00:00.000 UTC,4523.38575929,525.3764168675,3681.37233927,0.95,0.93,1,4
2025-04-06 02:00:00.000 UTC,10575.4057980025,7259.9955194925,780.0785830925,0.80325,0.7681,2,4
2025-04-06 04:00:00.000 UTC,149144510.99487016,54904398.30028132,62174042.83069174,0.81,0.785,1,2
2025-04-06 12:00:00.000 UTC,19746368.411254406,11100391.354306472,7260997.922201355,0.83,0.8,3,4
2025-04-06 14:00:00.000 UTC,82318846.99547035,30326301.295529354,34293928.79027761,0.8074,0.77615,2,2
2025-04-06 16:00:00.000 UTC,100896.57397389144,69103.65871189095,8687.063170401905,0.8130857142857143,0.7827952380952381,12,21
2025-04-06 18:00:00.000 UTC,536036.2104921942,351849.10992298124,63271.726203039485,0.7899025641025641,0.758351282051282,20,39
2025-04-06 20:00:00.000 UTC,112835.35776704052,64769.92031019053,24527.932343834735,0.8181368421052632,0.7906,10,19
2025-04-06 22:00:00.000 UTC,137838.12684737175,89153.71879607059,16383.104713260589,0.813364705882353,0.7806764705882353,10,17
2025-04-07 00:00:00.000 UTC,73764319.18440099,30107161.86195481,27798461.868456185,0.82,0.795,2,2
2025-04-07 02:00:00.000 UTC,3324605.190554853,2746772.168644627,323933.05572087044,0.8734380952380952,0.8440047619047618,7,21
2025-04-07 04:00:00.000 UTC,474676.6234325,381086.9986113129,21936.187222527144,0.8051428571428572,0.7631857142857144,4,7
2025-04-07 06:00:00.000 UTC,238378.17411206,154767.41724765624,28660.125567956064,0.7981786885245902,0.7665573770491803,29,61
2025-04-07 08:00:00.000 UTC,92588689.27076577,32162413.38371476,40519707.69383636,0.81,0.785,2,3
2025-04-07 10:00:00.000 UTC,61586.12945615,34236.52071743,14108.59090565,0.81,0.785,1,1
2025-04-07 12:00:00.000 UTC,123570268.43819784,51228690.45518026,48199343.08761392,0.845,0.82125,2,4
2025-04-07 14:00:00.000 UTC,16793746.72424334,6793892.571838706,6389446.207369404,0.8167222222222222,0.7913,5,9
2025-04-07 16:00:00.000 UTC,166523389.0139773,62084731.16397165,68636129.21200052,0.81,0.785,1,1
2025-04-07 20:00:00.000 UTC,168849466.06136045,57268688.02929087,75278142.82887709,0.81,0.785,1,1
2025-04-08 06:00:00.000 UTC,171479363.58446366,60821685.3966746,73789615.01712936,0.81,0.785,1,2
2025-04-08 12:00:00.000 UTC,126821093.9526094,54804436.59413444,49783072.34825612,0.88,0.8575,2,2
2025-04-08 14:00:00.000 UTC,2915236.44155473,2498281.46323122,212888.427414675,0.95,0.93,1,2
2025-04-08 16:00:00.000 UTC,14095386.96396727,12860455.488488903,167515.90443709271,0.833409090909091,0.8043545454545455,7,11
2025-04-08 18:00:00.000 UTC,2698878.02832071,2069103.037826557,410762.96500625217,0.9437037037037036,0.9225925925925923,2,27
2025-04-08 20:00:00.000 UTC,96464.7076995,59755.76052484,10663.476095793334,0.52,0.4866666666666667,1,3
2025-04-09 00:00:00.000 UTC,316960.1345833574,164470.74366951198,84840.93529365533,0.8204933333333333,0.7931933333333333,7,15
2025-04-09 02:00:00.000 UTC,54024393.66437812,50067995.19414676,174218.71669699,0.88,0.8575,2,2
2025-04-09 04:00:00.000 UTC,18847.0341250275,14698.3520722125,0.0,0.78,0.75,1,4
2025-04-09 10:00:00.000 UTC,63432904.31827413,26402703.02966908,24355181.1870464,0.9033333333333334,0.8816666666666666,3,6
2025-04-09 12:00:00.000 UTC,21225230.4006522,13562522.48358492,6169932.208176443,0.8366666666666666,0.81,2,3
2025-04-09 14:00:00.000 UTC,60490274.34106592,23437005.336283725,24339857.70880816,0.9033333333333334,0.8816666666666666,2,3
2025-04-09 16:00:00.000 UTC,911496.2406589836,467517.1596747793,235552.742365145,0.826957142857143,0.7984214285714285,9,14
2025-04-09 18:00:00.000 UTC,106954.704906275,70756.7676636775,14688.08196015375,0.8075,0.77125,4,8
2025-04-09 20:00:00.000 UTC,958485.65997188,385016.02834333,382769.09705183335,0.8126,0.7792,2,3
2025-04-10 10:00:00.000 UTC,188674570.5755695,67801732.38673618,80307805.51508589,0.81,0.785,1,2
2025-04-10 12:00:00.000 UTC,23512751.378212277,15022101.88671519,6837662.080594064,0.87,0.8466666666666666,2,3
2025-04-10 14:00:00.000 UTC,54884927.15848326,25365833.22499222,19081376.125132315,0.843225,0.816125,3,4
2025-04-10 18:00:00.000 UTC,37652879.57604309,13978329.77251755,15753812.931328528,0.922,0.901,2,5
2025-04-10 22:00:00.000 UTC,12202014.387640392,8825255.134022135,2521857.050193615,0.9256962025316455,0.9046835443037977,2,79
2025-04-11 00:00:00.000 UTC,6398.38001645,4906.51223994,0.0,0.7713,0.724,1,36
2025-04-11 04:00:00.000 UTC,37956706.82275975,35084664.56262462,215072.78254196,0.95,0.93,2,3
2025-04-11 12:00:00.000 UTC,75153674.88757923,60081989.6654342,9810927.98001448,0.95,0.93,1,1
2025-04-11 16:00:00.000 UTC,188796476.01441088,67049744.22870535,81155489.44260718,0.81,0.785,1,2
2025-04-11 18:00:00.000 UTC,1245876.0733882866,1029429.3890961369,0.0,0.83,0.805,1,225
2025-04-12 08:00:00.000 UTC,192191910.32071888,70937077.65579814,79933571.94596621,0.81,0.785,1,3
2025-04-12 10:00:00.000 UTC,1263.57087444,477.83871853,469.8394373,0.78,0.75,1,1
2025-04-12 12:00:00.000 UTC,76598522.61768037,61236622.86325094,10000003.1711918,0.95,0.93,1,1
2025-04-12 14:00:00.000 UTC,40094760.76581665,16799381.468008064,14662865.142554525,0.754,0.677,2,5
2025-04-12 16:00:00.000 UTC,205308990.95897287,88430158.20743223,72737399.69536147,0.81,0.785,1,1
2025-04-12 20:00:00.000 UTC,209561896.1448903,88943989.1994835,75562099.27425542,0.81,0.785,1,1
2025-04-13 04:00:00.000 UTC,205484765.66779327,95354017.21142276,65951523.83779497,0.81,0.785,1,1
2025-04-13 12:00:00.000 UTC,77067940.38011874,61612417.93220625,10060766.6213042,0.95,0.93,1,1
