time_bucket,avg_total_collateral_base,avg_total_debt_base,avg_available_borrows_base,avg_current_liquidation_threshold,avg_ltv,sampled_user_count,account_data_call_count,user_state_observed,user_state_age,borrow_amount_value_usd,collateralization_ratio,borrow_capacity_utilization,remaining_borrow_capacity,risk_buffer,ltv_utilization,distance_to_liquidation,debt_expansion_ratio,capital_efficiency,overcollateral_margin,has_sampled_borrow_position
2025-04-01 00:00:00.000 UTC,101139269.53311454,41530811.84615004,41661461.569367275,0.8375,0.8125,4,4,True,0.0,295655002.0869922,2.4352827464048303,0.49921477249116225,0.41192171707080283,0.025000000000000022,0.9701492537313433,0.02985074626865669,0.41062993669884296,2.923246365648214,59608457.6869645,1
2025-04-02 00:00:00.000 UTC,52392575.62821847,32115199.78458496,16609169.348717831,0.8646499999999999,0.8285833333333334,4,4,True,0.0,263365998.9966048,1.6313949774451189,0.6591198686784931,0.31701379727115736,0.03606666666666647,0.9582875537307969,0.04171244626920312,0.612972341968388,5.026780910056209,20277375.84363351,1
2025-04-03 00:00:00.000 UTC,30985352.042524926,9922406.56039747,14587083.393577036,0.7943666666666667,0.7693111111111112,14,29,True,0.0,227103283.1268962,3.122765818344347,0.40483937360713756,0.47077352464988703,0.025055555555555498,0.9684584504776692,0.03154154952233079,0.3202289438822499,7.329375597063253,21062945.482127458,1
2025-04-04 00:00:00.000 UTC,50138002.69030857,40422125.493808165,5059326.66294757,0.83546,0.800625,7,9,True,0.0,217732247.91219062,1.2403603738746662,0.8887606612579086,0.10090802168961376,0.03483499999999995,0.9583044071529457,0.041695592847054264,0.8062173067301216,4.342658985781203,9715877.196500406,1
2025-04-05 00:00:00.000 UTC,93039856.5047017,57382177.4692676,23840016.10608027,0.915,0.89375,4,8,True,0.0,128024899.86069097,1.621406865477202,0.7064839663070112,0.2562344462007584,0.02124999999999999,0.976775956284153,0.023224043715846965,0.616748344472864,1.376022112138805,35657679.035434105,1
2025-04-06 00:00:00.000 UTC,31513488.509559173,12114153.419172222,12980327.43102304,0.8106424782969868,0.7802091238418445,60,108,True,0.0,303370795.65287447,2.6013776959176513,0.4827417427556769,0.41189750944538056,0.03043335445514228,0.9624577353519923,0.037542264648007695,0.38441169137772746,9.626696694047414,19399335.09038695,1
2025-04-07 00:00:00.000 UTC,64618912.48105012,24296244.057117205,26720986.885757048,0.8198481863127765,0.7921297853239657,54,110,True,0.0,437796022.0876094,2.6596255918873606,0.476236040413925,0.4135165056142524,0.027718400988810732,0.9661908125777862,0.03380918742221384,0.37599277246026425,6.775044724189621,40322668.42393291,1
2025-04-08 00:00:00.000 UTC,53017737.27976921,22185619.623480093,20729086.356389884,0.8228521324354657,0.7976856341189674,14,47,True,0.0,280705517.1429453,2.389734349526935,0.5169700949107449,0.39098398800017814,0.02516649831649831,0.9694155276209702,0.030584472379029837,0.41845655363239725,5.294558605202082,30832117.65628912,1
2025-04-09 00:00:00.000 UTC,22387282.944290653,12730298.34390089,6195226.741933198,0.8412093121693123,0.8136553439153439,32,58,True,0.0,358037817.89088506,1.7585827401300806,0.6726523193498934,0.27672972898719467,0.027553968253968386,0.9672448130859225,0.03275518691407753,0.5686397217375345,15.99291074231025,9656984.600389764,1
2025-04-10 00:00:00.000 UTC,63385428.61518971,26198650.480996657,24900502.74046688,0.8741842405063291,0.8506950421940929,10,93,True,0.0,371419356.55224293,2.419415788655477,0.5127022431751814,0.3928426972015413,0.02348919831223628,0.9731301512612132,0.02686984873878684,0.4133229206360277,5.859696221463048,37186778.13419305,1
2025-04-11 00:00:00.000 UTC,60631826.43563092,32650146.871620048,18236298.041032724,0.86226,0.8348000000000001,6,267,True,0.0,525538184.3521898,1.8570154270372647,0.6416275872221854,0.30077104901982593,0.02745999999999993,0.9681534571938859,0.0318465428061141,0.5384984881872675,8.667695090962193,27981679.56401087,1
2025-04-12 00:00:00.000 UTC,120626224.06315891,54391284.5387819,42149401.51146112,0.819,0.7853333333333333,7,12,True,0.0,210365634.37054276,2.217749131796113,0.5634027140689144,0.34942154443458356,0.03366666666666662,0.9588929588929589,0.04110704110704111,0.4509076277667704,1.7439461112568444,66234939.52437701,1
