time_bucket,as_collateral_tx_count,as_debt_tx_count,liquidation_tx_count,unique_liquidated_users,unique_liquidators,liquidated_collateral_value_usd,liquidated_collateral_value_eth,liquidation_debt_covered_value_usd,liquidation_debt_covered_value_eth,borrow_tx_count,unique_borrowers,borrow_amount_value_usd,borrow_amount_value_eth,liquidation_rate,liquidation_volume_ratio_eth,liquidation_severity_usd,liquidation_severity_eth,avg_liquidation_debt_usd,avg_liquidation_debt_eth,liquidator_concentration,liquidation_user_ratio,market_stress_index_usd,market_stress_index_eth
2025-04-01 00:00:00.000 UTC,2086,2086,4172,4080,826,95150179.14196151,60787.77538019957,89867693.86900756,57415.26286963809,6642.0,4685.0,1873048249.7238586,1080168.2368967084,0.628124059018368,0.05315400037552526,22806.850225781764,14.570415958820607,21540.6744652463,13.762047667698488,0.19798657718120805,0.8708644610458911,200.1699736655341,221.75848956669137
2025-04-08 00:00:00.000 UTC,246,246,492,484,175,2038449.44199545,1400.3274406568626,1888190.5003732168,1297.2678330863391,7616.0,5328.0,2243339221.1208797,1429798.2853658092,0.06460084033613446,0.0009073082870248634,4143.18992275498,2.846193985074924,3837.785569864262,2.6367232379803642,0.3556910569105691,0.09084084084084085,0.41411023238806255,0.44639567721623274
2025-04-15 00:00:00.000 UTC,67,67,134,130,79,1332180.454016243,835.6453438520682,1256308.729185042,788.0734862155039,5110.0,3905.0,1754465126.0253162,1095676.474817399,0.026223091976516635,0.0007192574672618037,9941.645179225694,6.236159282478121,9375.438277500312,5.881145419518686,0.5895522388059702,0.03329065300896287,0.09595253118092839,0.0963805006130817
2025-04-22 00:00:00.000 UTC,38,38,76,72,60,1020690.6288892902,646.1994404292851,971200.53024568,614.8645487101426,6759.0,5140.0,3067906619.6471395,1742230.9500247822,0.011244266903388075,0.0003529179347327038,13430.13985380645,8.502624216174803,12778.954345337896,8.090323009343981,0.7894736842105263,0.014007782101167316,0.02405915480803037,0.026821763039685486
2025-04-29 00:00:00.000 UTC,16,16,32,29,25,160085.9456103674,86.94956495019575,129601.1615605293,70.43422591984923,6406.0,4675.0,2482046424.2032447,1360911.39570515,0.004995316890415236,5.1755188575927865e-05,5002.685800323981,2.717173904693617,4050.0362987665408,2.2010695599952883,0.78125,0.006203208556149733,0.0016708942788079524,0.0016561660344296917
2025-05-06 00:00:00.000 UTC,43,43,86,83,78,1790247.3934725572,725.3353558096209,1685087.52681916,682.7910319195638,8393.0,6286.0,3515650094.3954163,1606237.6841479505,0.010246634099845109,0.0004250871702600846,20816.83015665764,8.434132044297916,19594.041009525117,7.939430603715858,0.9069767441860465,0.013203945275214762,0.04122069131324319,0.03655749664236728
2025-05-13 00:00:00.000 UTC,49,49,98,95,79,2837105.242457261,1152.9451279472084,2666268.0677869204,1083.502723488691,7521.0,5393.0,3391765698.555216,1332812.1990452863,0.013030182156628108,0.0008129447826669207,28950.053494461845,11.764746203542943,27206.81701823388,11.05615023968052,0.8061224489795918,0.01761542740589653,0.07703783040037855,0.07966858870135823
2025-05-20 00:00:00.000 UTC,20,20,40,39,38,184535.57746483336,71.3036931805317,173164.5221099007,66.90912377706687,7948.0,6079.0,3415294102.976893,1331293.0599552586,0.0050327126321087065,5.0258749023536194e-05,4613.389436620834,1.7825923295132924,4329.113052747517,1.6727280944266716,0.95,0.006415528869879915,0.0020281067092753654,0.0020103499609414478
2025-05-27 00:00:00.000 UTC,37,37,74,74,64,260745.05816856143,102.59722513783451,243345.37896985788,95.74448457406884,7293.0,5166.0,4107270748.6909695,1573351.3618203774,0.01014671602906897,6.085384796902064e-05,3523.581867142722,1.3864489883491151,3288.4510671602416,1.2938443861360653,0.8648648648648649,0.014324428958575301,0.004384312392726649,0.004503184749707527
2025-06-03 00:00:00.000 UTC,59,59,118,118,85,1206109.5071388958,488.588027218292,1142996.7768671142,463.1123251939553,6971.0,5231.0,3656900476.1083617,1433236.2605832056,0.016927270119064697,0.0003231235058241604,10221.26700965166,4.140576501849932,9686.41336328063,3.9246807219826723,0.7203389830508474,0.02255782833110304,0.03688194976907074,0.03812857368725092
