time_bucket,liquidation_tx_count,unique_liquidated_users,unique_liquidators,as_collateral_tx_count,as_debt_tx_count,liquidated_collateral_value_usd,liquidated_collateral_value_eth,liquidation_debt_covered_value_usd,liquidation_debt_covered_value_eth,liquidation_rate,liquidation_volume_ratio_eth,liquidation_severity_usd,liquidation_severity_eth,avg_liquidation_debt_usd,avg_liquidation_debt_eth,liquidator_concentration,liquidation_user_ratio,market_stress_index_usd,market_stress_index_eth,has_liquidation,avg_total_collateral_base,avg_total_debt_base,avg_available_borrows_base,avg_current_liquidation_threshold,avg_ltv,borrow_capacity_utilization,remaining_borrow_capacity,risk_buffer,ltv_utilization,distance_to_liquidation,debt_expansion_ratio,capital_efficiency,overcollateral_margin,has_sampled_borrow_position,borrow_tx_count,unique_borrowers,borrow_amount_value_usd,borrow_amount_value_eth,repay_amount_value_usd,borrow_repay_ratio,repayment_discipline,net_borrow_demand_usd,borrower_participation_rate,leverage_indicator,collateral_enabled_count,collateral_disabled_count,collateral_usage_rate,net_liquidity_flow_usd,supply_withdrawal_ratio,protocol_turnover_usd,flashloan_usage_intensity,flashloan_amount_value_usd,user_activity,target_next_1d,target_fwd_max_1d,target_fwd_max_3d,target_fwd_max_7d,y_reg_log1p
2025-04-01 00:00:00.000 UTC,12,12,12,6,6,83457.13917558301,44.521713126791475,79215.71182632571,42.262463076257454,0.0139372822299651,0.0002682866807964,6954.761597965251,3.710142760565956,6601.309318860476,3.5218719230214544,1.0,0.0199004975124378,0.0032151951944185,0.0032194401695568,1,101139269.53311454,41530811.84615004,41661461.569367275,0.8375,0.8125,0.4992147724911622,0.4119217170708028,0.025,0.9701492537313432,0.0298507462686566,0.4106299366988429,2.923246365648214,59608457.6869645,1,861.0,603.0,295655002.0869922,157527.25014451818,328765327.26605576,0.8992888774056493,0.7097844112769486,-33110325.179063573,0.46744186046511627,0.07562328989656111,992,871,0.5324745034889963,119285034.60863902,1.0314712074890713,8324287370.550538,0.11032967032967032,17995098.822565,1459.0,907043.3671373248,907043.3671373248,1164971.9120343493,44687568.1662392,13.71794664425959
2025-04-02 00:00:00.000 UTC,54,51,41,27,27,933136.5389787264,501.70240045698495,907043.3671373248,487.46671403909886,0.0603351955307262,0.0034709189320824,17280.30627738382,9.290785193647867,16797.09939143194,9.027161371094424,0.7592592592592593,0.0836065573770491,0.1859782280629436,0.1874296223324503,1,52392575.62821847,32115199.78458496,16609169.348717831,0.8646499999999999,0.8285833333333334,0.6591198686784931,0.3170137972711573,0.0360666666666664,0.9582875537307968,0.0417124462692031,0.612972341968388,5.026780910056209,20277375.84363351,1,895.0,610.0,263365998.9966048,140443.12862894734,314802145.7193832,0.8366080173779091,0.8327868852459016,-51436146.722778395,0.43509272467902993,0.08539353786776628,1416,1284,0.5244444444444445,-44621104.317576304,0.9857384311183945,6791077987.800489,0.1505703422053232,23974065.766024612,1622.0,1164971.9120343493,1164971.9120343493,1164971.9120343493,44687568.1662392,13.968208393238957
2025-04-03 00:00:00.000 UTC,148,147,55,74,74,1239253.364366173,695.940476587922,1164971.9120343493,654.2396827123094,0.1705069124423963,0.0051807256680391,8373.333543014684,4.70230051748596,7871.431838069928,4.420538396704794,0.3716216216216216,0.2244274809160305,0.7591957307140498,0.766747398869788,1,30985352.042524926,9922406.56039747,14587083.393577036,0.7943666666666667,0.7693111111111112,0.4048393736071375,0.470773524649887,0.0250555555555554,0.9684584504776692,0.0315415495223307,0.3202289438822499,7.329375597063253,21062945.482127458,1,868.0,655.0,227103283.1268962,126283.40596153153,278318164.8977848,0.8159844083849223,0.9725190839694656,-51214881.77088867,0.4075917859365277,0.10049309186378438,1458,1284,0.5317286652078774,102513144.34362005,1.0475175061941249,4922687303.708814,0.14111747851002865,14685762.851556245,1849.0,17143.93878525979,17143.93878525979,43011624.03996829,44687568.1662392,9.749458294477103
2025-04-04 00:00:00.000 UTC,24,23,17,12,12,18543.8602673799,10.33557228003082,17143.93878525979,9.555658860700808,0.0323886639676113,7.948098609077692e-05,772.6608444741624,0.4306488450012842,714.3307827191579,0.3981524525292003,0.7083333333333334,0.0404217926186291,0.0018897271065339,0.0019075436661786,1,50138002.69030857,40422125.493808165,5059326.66294757,0.83546,0.800625,0.8887606612579086,0.1009080216896137,0.0348349999999999,0.9583044071529456,0.0416955928470542,0.8062173067301216,4.342658985781203,9715877.196500406,1,741.0,569.0,217732247.91219062,120225.72102700244,254293899.31089035,0.8562228527787024,0.8312829525483304,-36561651.39869971,0.4307342922028766,0.08232120510130535,1081,983,0.5237403100775194,96006357.01651168,1.037665733485135,5665841474.528294,0.11037527593818984,47791550.147965856,1473.0,126.73301681415464,126.73301681415464,44687568.1662392,44687568.1662392,4.849942279457007
2025-04-05 00:00:00.000 UTC,8,8,8,4,4,132.97715402450362,0.0743062736005876,126.73301681415464,0.0708169147186646,0.0154142581888246,9.973521149284569e-07,16.622144253062952,0.0092882842000734,15.84162710176933,0.008852114339833,1.0,0.0198019801980198,7.919273013425227e-06,7.978816919427655e-06,1,93039856.5047017,57382177.4692676,23840016.10608027,0.915,0.89375,0.7064839663070112,0.2562344462007584,0.0212499999999999,0.976775956284153,0.0232240437158469,0.616748344472864,1.376022112138805,35657679.035434105,1,519.0,404.0,128024899.86069097,71004.92760647979,148607755.84202474,0.8614954121020838,0.849009900990099,-20582855.98133377,0.42171189979123175,0.06943314616909411,766,667,0.534542916957432,7889587.9954030365,1.0042972338752711,3956460157.4357643,0.09489993544222079,8001433.15237195,1055.0,43011624.03996829,43011624.03996829,44687568.1662392,44687568.1662392,17.57698098688663
2025-04-06 00:00:00.000 UTC,2118,2087,401,1059,1059,45410545.20511867,27618.565484934028,43011624.03996829,26162.28559946525,2.0037842951750235,0.1476976918019218,21440.295186552725,13.039927046711062,20307.66007552799,12.352353918538832,0.1893295561850802,2.9477401129943503,300.28803372652413,312.8237112364704,1,31513488.509559173,12114153.419172222,12980327.43102304,0.8106424782969868,0.7802091238418445,0.4827417427556769,0.4118975094453805,0.0304333544551422,0.9624577353519924,0.0375422646480076,0.3844116913777274,9.626696694047414,19399335.09038695,1,1057.0,708.0,303370795.65287447,177134.018008566,288740376.53182137,1.0506698068929086,1.8785310734463276,14630419.1210531,0.3390804597701149,0.1625088523925879,2315,2211,0.5114891736632788,340276591.4502467,1.2229101701697964,3985425596.6871457,0.15544871794871795,50831468.059171155,2578.0,44687568.1662392,44687568.1662392,44687568.1662392,44687568.1662392,17.615205926193283
2025-04-07 00:00:00.000 UTC,1808,1752,292,904,904,47465110.05690096,31916.6354265402,44687568.1662392,30059.38193456976,1.0629041740152851,0.1045362697115079,26252.8263589054,17.65300631998905,24716.5753131854,16.625764344341682,0.161504424778761,1.5422535211267605,184.54969704679544,189.00157563840645,1,64618912.48105012,24296244.057117205,26720986.885757048,0.8198481863127765,0.7921297853239657,0.476236040413925,0.4135165056142524,0.0277184009888107,0.9661908125777862,0.0338091874222138,0.3759927724602642,6.775044724189621,40322668.42393291,1,1701.0,1136.0,437796022.0876094,287549.78551966295,565993468.6210877,0.77350013093649,1.5845070422535212,-128197446.53347825,0.361323155216285,0.10921392210412108,2723,2568,0.5146475146475147,123522162.3901454,1.0317939174167043,8897487361.314503,0.13366179275270185,73493751.81803568,3692.0,39950.057401165934,39950.057401165934,1798063.0077810397,1798063.0077810397,10.595410418958437
2025-04-08 00:00:00.000 UTC,62,62,42,31,31,42235.857882885095,27.982700073767173,39950.057401165934,26.473826239637795,0.0489344909234412,0.0001453623233789,681.2235142400822,0.451333872157535,644.3557645349345,0.4269971974135128,0.6774193548387096,0.0776942355889724,0.0088238506463375,0.0090124640494959,1,53017737.27976921,22185619.623480093,20729086.356389884,0.8228521324354657,0.7976856341189674,0.5169700949107449,0.3909839880001781,0.0251664983164983,0.9694155276209702,0.0305844723790298,0.4184565536323972,5.294558605202082,30832117.65628912,1,1267.0,798.0,280705517.1429453,182123.026271526,274019708.91407585,1.0243990049305756,0.956140350877193,6685808.228869475,0.41605839416058393,0.09726546840543326,1747,1527,0.5335980452046426,138742216.33567217,1.050502570219334,6187929040.410799,0.12248581743166581,33715640.39133705,2171.0,1798063.0077810397,1798063.0077810397,1798063.0077810397,1798063.0077810397,14.402221092813338
2025-04-09 00:00:00.000 UTC,390,383,95,195,195,1943256.738791666,1338.19657891481,1798063.0077810397,1238.4368346185452,0.24,0.005231940215797,4982.709586645297,3.4312732792687437,4610.417968669332,3.1754790631244747,0.2435897435897435,0.3704061895551257,1.9585768262287744,2.040456684160847,1,22387282.944290653,12730298.34390089,6195226.741933198,0.8412093121693123,0.8136553439153439,0.6726523193498934,0.2767297289871946,0.0275539682539683,0.9672448130859224,0.0327551869140775,0.5686397217375345,15.99291074231025,9656984.600389764,1,1625.0,1034.0,358037817.89088506,236706.99272886847,364509806.4582995,0.9822446791478713,0.8945841392649904,-6471988.567414422,0.41426282051282054,0.08887949249499892,2443,2296,0.5155096011816839,106675663.32077885,1.0272015519855804,8672574533.020054,0.13228252194732643,37810903.58709923,2857.0,40139.25871067769,40139.25871067769,40139.25871067769,603331.2101830175,10.60013506753827
2025-04-10 00:00:00.000 UTC,24,24,23,12,12,42433.25882652306,27.496043128033698,40139.25871067769,26.01303604339538,0.0212765957446808,0.0001102014696724,1768.0524511051274,1.1456684636680707,1672.4691129449038,1.0838765018081409,0.9583333333333334,0.0306122448979591,0.0025936779870565,0.0026448352721392,1,63385428.61518971,26198650.480996657,24900502.74046688,0.8741842405063291,0.8506950421940929,0.5127022431751814,0.3928426972015413,0.0234891983122362,0.9731301512612132,0.0268698487387868,0.4133229206360277,5.859696221463048,37186778.13419305,1,1128.0,784.0,371419356.55224293,236049.81059425604,328937768.31129956,1.1291477973448756,0.7448979591836735,42481588.240943395,0.4563445867287544,0.14377535500993865,1547,1370,0.5303393897840247,96461970.6526699,1.0387885179281766,5770557500.849741,0.10678073510773131,36243008.041097514,1920.0,2587.05724662729,2587.05724662729,7344.22267512819,603331.2101830175,7.858662775402148
